Nivel,Probabilidad
876,9.5164139107132e-08
877,2.85492417321396e-07
878,1.90328278214264e-07
879,5.70984834642792e-07
880,2.85492417321396e-07
881,2.85492417321396e-07
882,5.70984834642792e-07
883,0
884,2.85492417321396e-07
885,3.80656556428528e-07
886,9.5164139107132e-08
887,1.90328278214264e-07
888,7.61313112857056e-07
889,4.7582069553566e-07
890,2.85492417321396e-07
891,9.5164139107132e-08
892,3.80656556428528e-07
893,1.90328278214264e-07
894,2.85492417321396e-07
895,1.90328278214264e-07
896,4.7582069553566e-07
897,2.85492417321396e-07
898,3.80656556428528e-07
899,2.85492417321396e-07
900,2.85492417321396e-07
901,2.85492417321396e-07
902,5.70984834642792e-07
903,3.80656556428528e-07
904,2.85492417321396e-07
905,9.5164139107132e-08
906,1.90328278214264e-07
907,3.80656556428528e-07
908,2.85492417321396e-07
909,4.7582069553566e-07
910,1.90328278214264e-07
911,2.85492417321396e-07
912,3.80656556428528e-07
913,2.85492417321396e-07
914,5.70984834642792e-07
915,2.85492417321396e-07
916,5.70984834642792e-07
917,2.85492417321396e-07
918,2.85492417321396e-07
919,8.56477251964188e-07
920,9.5164139107132e-08
921,5.70984834642792e-07
922,6.66148973749924e-07
923,3.80656556428528e-07
924,1.90328278214264e-07
925,5.70984834642792e-07
926,2.85492417321396e-07
927,5.70984834642792e-07
928,1.90328278214264e-07
929,9.5164139107132e-08
930,4.7582069553566e-07
931,4.7582069553566e-07
932,4.7582069553566e-07
933,1.90328278214264e-07
934,2.85492417321396e-07
935,5.70984834642792e-07
936,3.80656556428528e-07
937,1.90328278214264e-07
938,4.7582069553566e-07
939,3.80656556428528e-07
940,4.7582069553566e-07
941,2.85492417321396e-07
942,1.90328278214264e-07
943,4.7582069553566e-07
944,2.85492417321396e-07
945,3.80656556428528e-07
946,3.80656556428528e-07
947,2.85492417321396e-07
948,1.90328278214264e-07
949,2.85492417321396e-07
950,4.7582069553566e-07
951,2.85492417321396e-07
952,1.90328278214264e-07
953,4.7582069553566e-07
954,4.7582069553566e-07
955,9.5164139107132e-08
956,6.66148973749924e-07
957,3.80656556428528e-07
958,2.85492417321396e-07
959,4.7582069553566e-07
960,1.90328278214264e-07
961,4.7582069553566e-07
962,9.5164139107132e-08
963,0
964,7.61313112857056e-07
965,1.90328278214264e-07
966,2.85492417321396e-07
967,2.85492417321396e-07
968,6.66148973749924e-07
969,2.85492417321396e-07
970,4.7582069553566e-07
971,3.80656556428528e-07
972,1.90328278214264e-07
973,3.80656556428528e-07
974,0
975,9.5164139107132e-08
976,1.90328278214264e-07
977,9.5164139107132e-08
978,1.90328278214264e-07
979,3.80656556428528e-07
980,2.85492417321396e-07
981,3.80656556428528e-07
982,1.90328278214264e-07
983,6.66148973749924e-07
984,1.90328278214264e-07
985,3.80656556428528e-07
986,7.61313112857056e-07
987,1.90328278214264e-07
988,3.80656556428528e-07
989,2.85492417321396e-07
990,1.90328278214264e-07
991,4.7582069553566e-07
992,4.7582069553566e-07
993,3.80656556428528e-07
994,3.80656556428528e-07
995,2.85492417321396e-07
996,3.80656556428528e-07
997,6.66148973749924e-07
998,1.90328278214264e-07
999,1.90328278214264e-07
1000,9.5164139107132e-08
1001,1.90328278214264e-07
1002,5.70984834642792e-07
1003,5.70984834642792e-07
1004,1.90328278214264e-07
1005,1.90328278214264e-07
1006,3.80656556428528e-07
1007,6.66148973749924e-07
1008,3.80656556428528e-07
1009,1.90328278214264e-07
1010,1.90328278214264e-07
1011,6.66148973749924e-07
1012,2.85492417321396e-07
