Nivel,Probabilidad
742,3.18714941356451e-07
743,3.18714941356451e-07
744,7.96787353391127e-08
745,3.98393676695564e-07
746,3.18714941356451e-07
747,1.59357470678225e-07
748,1.59357470678225e-07
749,1.59357470678225e-07
750,2.39036206017338e-07
751,2.39036206017338e-07
752,3.18714941356451e-07
753,3.18714941356451e-07
754,2.39036206017338e-07
755,1.59357470678225e-07
756,3.18714941356451e-07
757,3.18714941356451e-07
758,2.39036206017338e-07
759,5.57751147373789e-07
760,1.59357470678225e-07
761,4.78072412034676e-07
762,1.59357470678225e-07
763,1.59357470678225e-07
764,3.18714941356451e-07
765,7.96787353391127e-08
766,2.39036206017338e-07
767,1.59357470678225e-07
768,3.18714941356451e-07
769,1.59357470678225e-07
770,2.39036206017338e-07
771,0
772,7.96787353391127e-08
773,1.59357470678225e-07
774,7.96787353391127e-08
775,2.39036206017338e-07
776,3.18714941356451e-07
777,0
778,1.59357470678225e-07
779,3.18714941356451e-07
780,2.39036206017338e-07
781,7.96787353391127e-08
782,2.39036206017338e-07
783,2.39036206017338e-07
784,7.96787353391127e-08
785,1.59357470678225e-07
786,3.18714941356451e-07
787,2.39036206017338e-07
788,4.78072412034676e-07
789,2.39036206017338e-07
790,2.39036206017338e-07
791,2.39036206017338e-07
792,0
793,0
794,2.39036206017338e-07
795,1.59357470678225e-07
796,2.39036206017338e-07
797,2.39036206017338e-07
798,2.39036206017338e-07
799,1.59357470678225e-07
800,1.59357470678225e-07
801,1.59357470678225e-07
802,2.39036206017338e-07
803,1.59357470678225e-07
804,0
805,4.78072412034676e-07
806,3.18714941356451e-07
807,2.39036206017338e-07
808,2.39036206017338e-07
809,2.39036206017338e-07
810,2.39036206017338e-07
811,4.78072412034676e-07
812,3.18714941356451e-07
813,0
814,1.59357470678225e-07
815,1.59357470678225e-07
816,5.57751147373789e-07
817,3.18714941356451e-07
818,3.98393676695564e-07
819,3.18714941356451e-07
820,2.39036206017338e-07
821,2.39036206017338e-07
822,7.96787353391127e-08
823,2.39036206017338e-07
824,1.59357470678225e-07
825,1.59357470678225e-07
826,4.78072412034676e-07
827,3.98393676695564e-07
828,3.18714941356451e-07
829,2.39036206017338e-07
830,3.18714941356451e-07
831,2.39036206017338e-07
832,7.96787353391127e-08
833,6.37429882712902e-07
834,1.59357470678225e-07
835,7.96787353391127e-08
836,3.18714941356451e-07
837,7.96787353391127e-08
838,2.39036206017338e-07
839,4.78072412034676e-07
840,6.37429882712902e-07
841,3.18714941356451e-07
842,2.39036206017338e-07
843,3.18714941356451e-07
844,1.59357470678225e-07
845,7.96787353391127e-08
846,2.39036206017338e-07
847,7.96787353391127e-08
848,2.39036206017338e-07
849,4.78072412034676e-07
850,3.18714941356451e-07
851,3.98393676695564e-07
852,4.78072412034676e-07
853,2.39036206017338e-07
854,1.59357470678225e-07
855,2.39036206017338e-07
856,7.96787353391127e-08
857,3.18714941356451e-07
858,2.39036206017338e-07
859,2.39036206017338e-07
860,3.98393676695564e-07
861,7.96787353391127e-08
862,1.59357470678225e-07
863,3.18714941356451e-07
864,2.39036206017338e-07
865,2.39036206017338e-07
866,2.39036206017338e-07
867,3.18714941356451e-07
868,1.59357470678225e-07
869,3.18714941356451e-07
870,3.18714941356451e-07
871,7.96787353391127e-08
872,2.39036206017338e-07
873,3.18714941356451e-07
874,2.39036206017338e-07
875,7.96787353391127e-08
876,4.78072412034676e-07
877,3.18714941356451e-07
878,3.18714941356451e-07
879,0
880,2.39036206017338e-07
881,1.59357470678225e-07
882,7.96787353391127e-08
883,3.18714941356451e-07
884,2.39036206017338e-07
885,1.59357470678225e-07
886,1.59357470678225e-07
887,3.18714941356451e-07
888,6.37429882712902e-07
889,1.59357470678225e-07
890,7.96787353391127e-08
891,3.98393676695564e-07
892,2.39036206017338e-07
893,5.57751147373789e-07
894,7.96787353391127e-08
895,7.96787353391127e-08
896,0
897,1.59357470678225e-07
898,5.57751147373789e-07
899,7.96787353391127e-08
900,1.59357470678225e-07
901,3.18714941356451e-07
902,6.37429882712902e-07
903,1.59357470678225e-07
904,1.59357470678225e-07
905,7.96787353391127e-08
906,3.98393676695564e-07
907,3.98393676695564e-07
908,2.39036206017338e-07
909,1.59357470678225e-07
910,1.59357470678225e-07
911,2.39036206017338e-07
912,4.78072412034676e-07
913,3.98393676695564e-07
914,1.59357470678225e-07
915,2.39036206017338e-07
916,4.78072412034676e-07
917,2.39036206017338e-07
918,1.59357470678225e-07
919,3.98393676695564e-07
920,1.59357470678225e-07
921,1.59357470678225e-07
922,1.59357470678225e-07
923,3.98393676695564e-07
924,3.98393676695564e-07
925,3.18714941356451e-07
926,2.39036206017338e-07
927,4.78072412034676e-07
928,1.59357470678225e-07
929,4.78072412034676e-07
930,1.59357470678225e-07
931,3.18714941356451e-07
932,1.59357470678225e-07
933,4.78072412034676e-07
934,4.78072412034676e-07
935,4.78072412034676e-07
936,1.59357470678225e-07
937,3.98393676695564e-07
938,3.18714941356451e-07
939,0
940,7.96787353391127e-07
941,3.18714941356451e-07
942,4.78072412034676e-07
943,3.18714941356451e-07
944,7.96787353391127e-08
945,2.39036206017338e-07
946,3.18714941356451e-07
947,3.18714941356451e-07
948,2.39036206017338e-07
949,3.18714941356451e-07
950,7.96787353391127e-08
951,3.98393676695564e-07
952,1.59357470678225e-07
953,6.37429882712902e-07
954,4.78072412034676e-07
955,7.96787353391127e-08
956,3.98393676695564e-07
957,3.98393676695564e-07
958,3.98393676695564e-07
959,3.18714941356451e-07
960,1.59357470678225e-07
961,7.96787353391127e-08
962,3.98393676695564e-07
963,4.78072412034676e-07
964,4.78072412034676e-07
965,3.98393676695564e-07
966,7.96787353391127e-08
967,7.96787353391127e-08
968,3.18714941356451e-07
969,3.18714941356451e-07
970,3.18714941356451e-07
971,3.98393676695564e-07
972,1.59357470678225e-07
973,0
974,3.98393676695564e-07
975,4.78072412034676e-07
976,2.39036206017338e-07
977,6.37429882712902e-07
978,2.39036206017338e-07
979,7.96787353391127e-08
980,3.98393676695564e-07
981,3.98393676695564e-07
982,6.37429882712902e-07
983,3.18714941356451e-07
984,7.96787353391127e-08
985,3.98393676695564e-07
986,1.59357470678225e-07
987,7.96787353391127e-08
988,3.98393676695564e-07
989,3.18714941356451e-07
990,1.59357470678225e-07
991,2.39036206017338e-07
992,7.96787353391127e-08
993,3.18714941356451e-07
994,7.96787353391127e-08
995,5.57751147373789e-07
996,7.96787353391127e-08
997,4.78072412034676e-07
998,1.59357470678225e-07
999,1.59357470678225e-07
1000,4.78072412034676e-07
1001,3.98393676695564e-07
1002,3.98393676695564e-07
1003,2.39036206017338e-07
1004,7.96787353391127e-08
1005,2.39036206017338e-07
1006,3.98393676695564e-07
1007,5.57751147373789e-07
1008,3.98393676695564e-07
1009,7.96787353391127e-08
1010,2.39036206017338e-07
1011,1.59357470678225e-07
1012,1.59357470678225e-07
1013,4.78072412034676e-07
1014,1.59357470678225e-07
